Вермишель MAKFA длинная спагетти, 500г;Спагетти Макфа
Макароны MAKFA перья любительские, 450г;Макароны Макфа
Оливки MAESTRO DE OLIVA без косточек, 300г;Оливки
 Оливки MAESTRO DE OLIVA супергигантские без косточек,  420г;Маслины
Зеленый горошек BONDUELLE Нежный, 400 г;Горошек
Кукуруза GLOBUS, 425мл;Кукуруза
Сок ДОБРЫЙ Яблоко, 2л;Яблочный сок
Сок SANTAL красный гранат, 1л;Гранатовый сок
Туалетная бумага PAPIA 3 слоя, 4 рулона;Туалетная бумага
Тесто слоеное дрожжевое ЗВЕЗДНЫЙ, 500 г;Готовое тесто
Молоко ПРОСТОКВАШИНО стерилизованное 3,2%, 950мл;Молоко
Масло сливочное ЭКОМИЛК Крестьянское 72,5% , 180г;Масло сливочное
Масло подсолнечное ЗОЛОТАЯ СЕМЕЧКА, 1л;Масло подсолнечное
Рис МИСТРАЛЬ Янтарь пропаренный длиннозерный, 900 г;Рис
Кетчуп HEINZ Томатный, 1000г;Кетчуп
Чай AHMAD TEA черный классический, 25х2г;Чай
Шампунь ELSEVE Полное восстановление 5, 400 мл;Шампунь
Гель для стирки PERSIL Color, 1,46л;Гель для стирки